course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1200,8,5,0.0,-42,48,-1,-1,-1,-1,118,9,4,0,4,52.0,499,-2,10,12,11,1759,15,2,2,13,13,5,1,0,20,0,7,14.3,14.3,739,749.0,776.0,3021,267,268,8,8,342,31,24,9,7,8226,732,834,8,10,193,16,9,8,4
1200,8,5,5.5,323,34,-1,-1,-1,-1,144,10,4,1,5,56.5,516,11,10,12,11,2069,28,1,5,3,17,10,0,1,0,10,4,0.0,50.0,740,744.0,752.0,2846,217,219,7,7,437,36,39,8,8,9988,903,967,9,9,319,35,29,10,9
1200,8,5,0.0,-50,20,62,38,-1,-1,22,7,4,1,6,53.0,459,-1,10,12,11,2467,41,2,3,4,7,9,0,0,0,0,5,0.0,20.0,731,745.0,757.0,6504,1318,985,20,15,494,110,74,22,14,1106,68,76,6,6,215,8,12,3,5
1200,8,5,0.0,-58,35,148,-1,-1,-1,-1,8,0,0,5,52.0,499,-2,10,12,11,2012,25,4,5,16,20,8,1,0,12,0,9,22.2,33.3,749,759.0,766.0,5362,396,469,7,8,260,20,14,7,5,811,45,57,5,7,210,13,17,6,8
1200,8,5,1.0,-49,41,-1,14,-1,103,29,6,4,1,4,55.0,475,-2,10,12,11,1714,13,3,1,23,7,8,2,0,25,0,4,25.0,25.0,745,759.0,768.0,2318,140,159,6,6,55,4,4,7,7,3447,301,308,8,8,169,34,19,20,11
1200,8,5,0.5,-97,83,-1,-1,-1,133,-1,4,7,1,5,53.5,498,-8,10,12,11,1894,26,2,4,7,15,6,0,1,0,16,6,0.0,33.3,757,763.0,771.0,859,68,82,7,9,358,29,34,8,9,2434,222,183,9,7,234,26,8,11,3
1200,8,5,-2.0,41,195,-1,-1,-1,80,14,1,0,2,5,54.5,455,8,10,12,11,2085,18,4,5,22,27,4,0,1,0,25,3,33.3,33.3,743,751.0,756.0,5007,627,624,12,12,266,33,41,12,15,8878,768,823,8,9,290,22,31,7,10
1000,7,6,0.0,68,29,-1,-1,-1,-1,115,7,0,1,2,54.0,484,2,10,1,11,942,2,0,0,0,0,2,0,0,0,0,2,0.0,0.0,623,630.0,638.0,1977,165,183,8,9,165,19,14,11,8,6150,737,694,11,11,347,29,35,8,10
1000,7,6,0.0,-72,28,-1,-1,-1,8,116,8,0,1,2,54.0,499,-2,10,1,11,935,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,631,631.0,631.0,5622,693,654,12,11,239,37,36,15,15,8794,890,894,10,10,237,18,26,7,10
1000,7,6,0.0,47,42,-1,-1,-1,117,-1,4,0,1,2,54.0,474,2,10,1,11,918,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,635,635.0,635.0,2718,203,216,7,7,449,37,41,8,9,1269,192,110,15,8,295,33,24,11,8
1000,7,6,0.0,107,28,21,-1,-1,-1,111,1,0,0,2,52.0,479,3,10,1,11,946,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,644,644.0,644.0,675,101,90,14,13,441,68,71,15,16,2849,228,246,8,8,253,16,33,6,13
1000,7,6,0.0,-1,-1,-1,-1,-1,102,62,2,0,0,2,52.0,477,-9,10,1,11,907,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,248,20,15,8,6,248,20,15,8,6,3228,298,337,9,10,319,35,25,10,7
1000,7,6,0.0,0,36,-1,-1,-1,-1,116,9,0,0,2,53.0,467,0,10,1,11,969,2,0,0,0,0,2,0,0,0,0,2,0.0,0.0,631,640.0,649.0,1417,74,111,5,7,588,34,39,5,6,1075,107,119,9,11,190,24,22,12,11
